Designator,Footprint,Quantity,Value,LCSC Part #
+9V,PinHeader_1x02_P2.54mm_Vertical,1,Circuit Battery,
D1,Osram_BPW82,1,D_Photo,
D2,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4004,
IC1,DIP794W53P254L959H508Q8N,1,LF353P,
MOTOR1,PinHeader_1x02_P2.54mm_Vertical,1,Motor,
MOTOR_CAR1,PinHeader_1x02_P2.54mm_Vertical,1,Motor battery,
POT,Potentiometer_Piher_PT-6-H_Horizontal,1,10k pot,
Q1,TO-247-3_Vertical,1,MTP3055E,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,470k,
"R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,10k,
U1,DIP794W45P254L959H508Q8,1,LM393N,
